m1,p
http://dbpedia.org/resource/4mations,http://dbpedia.org/resource/Aardman_Animations
http://dbpedia.org/resource/Enron,http://dbpedia.org/resource/Andrew_Fastow
http://dbpedia.org/resource/Enron_scandal,http://dbpedia.org/resource/Andrew_Fastow
http://dbpedia.org/resource/Really_Useful_Group,http://dbpedia.org/resource/Andrew_Lloyd_Webber
http://dbpedia.org/resource/Fokker,http://dbpedia.org/resource/Anthony_Fokker
http://dbpedia.org/resource/YouthAIDS,http://dbpedia.org/resource/Ashley_Judd
http://dbpedia.org/resource/Plan_B_Entertainment,http://dbpedia.org/resource/Brad_Pitt
http://dbpedia.org/resource/Concord_Production_Inc.,http://dbpedia.org/resource/Bruce_Lee
http://dbpedia.org/resource/Skylark_Group,http://dbpedia.org/resource/Business
http://dbpedia.org/resource/EatOut,http://dbpedia.org/resource/Business_administration
http://dbpedia.org/resource/Entertainment_One_Distribution,http://dbpedia.org/resource/Business_administration
http://dbpedia.org/resource/Golden_Corral,http://dbpedia.org/resource/Business_administration
http://dbpedia.org/resource/Art_Instruction_Schools,http://dbpedia.org/resource/Charles_M._Schulz
http://dbpedia.org/resource/Mackintosh,http://dbpedia.org/resource/Charles_Macintosh
http://dbpedia.org/resource/The_Belmont_Sessions,http://dbpedia.org/resource/Cinematographer
http://dbpedia.org/resource/Malpaso_Productions,http://dbpedia.org/resource/Clint_Eastwood
http://dbpedia.org/resource/Sinclair_Research,http://dbpedia.org/resource/Clive_Sinclair
http://dbpedia.org/resource/Sinclair_Radionics,http://dbpedia.org/resource/Clive_Sinclair
http://dbpedia.org/resource/House_of_Blues,http://dbpedia.org/resource/Dan_Aykroyd
http://dbpedia.org/resource/Boies,_Schiller_&_Flexner,http://dbpedia.org/resource/David_Boies
http://dbpedia.org/resource/Four_Star_Television,http://dbpedia.org/resource/David_Niven
http://dbpedia.org/resource/Westinghouse_Electric_Company,http://dbpedia.org/resource/George_Westinghouse
http://dbpedia.org/resource/Westinghouse_Licensing_Corporation,http://dbpedia.org/resource/George_Westinghouse
http://dbpedia.org/resource/Royal_Exchange_Assurance_Corporation,http://dbpedia.org/resource/Governor
http://dbpedia.org/resource/Hua_Xia_Bank,http://dbpedia.org/resource/Governor
http://dbpedia.org/resource/China_Merchants_Bank,http://dbpedia.org/resource/Governor
http://dbpedia.org/resource/CTBC_Bank,http://dbpedia.org/resource/Governor
http://dbpedia.org/resource/PDVAL,http://dbpedia.org/resource/Hugo_Chávez
http://dbpedia.org/resource/Eidos_Interactive,http://dbpedia.org/resource/Ian_Livingstone
http://dbpedia.org/resource/Liquid_Robotics,http://dbpedia.org/resource/James_Gosling
http://dbpedia.org/resource/The_Rouse_Company,http://dbpedia.org/resource/James_Rouse
http://dbpedia.org/resource/Enterprise_Community_Partners,http://dbpedia.org/resource/James_Rouse
http://dbpedia.org/resource/Amiga_Corporation,http://dbpedia.org/resource/Jay_Miner
http://dbpedia.org/resource/The_Hunger_Project,http://dbpedia.org/resource/John_Denver
http://dbpedia.org/resource/Cygnus_Solutions,http://dbpedia.org/resource/John_Gilmore_(activist)
http://dbpedia.org/resource/Electric_Cloud,http://dbpedia.org/resource/John_Ousterhout
http://dbpedia.org/resource/Roche-Dinkeloo,http://dbpedia.org/resource/Kevin_Roche
http://dbpedia.org/resource/Welk_Resort_Group,http://dbpedia.org/resource/Lawrence_Welk
http://dbpedia.org/resource/Appian_Way_Productions,http://dbpedia.org/resource/Leonardo_DiCaprio
http://dbpedia.org/resource/EuropaCorp,http://dbpedia.org/resource/Luc_Besson
http://dbpedia.org/resource/Temahome,http://dbpedia.org/resource/Manufacturing
http://dbpedia.org/resource/Strider_Knives,http://dbpedia.org/resource/Manufacturing
http://dbpedia.org/resource/Warner_Bros._Cartoons,http://dbpedia.org/resource/Mel_Blanc
http://dbpedia.org/resource/Icon_Productions,http://dbpedia.org/resource/Mel_Gibson
http://dbpedia.org/resource/MGM-Pathé_Communications,http://dbpedia.org/resource/Metro-Goldwyn-Mayer
http://dbpedia.org/resource/Bloomberg_L.P.,http://dbpedia.org/resource/Michael_Bloomberg
http://dbpedia.org/resource/Mistwalker,http://dbpedia.org/resource/Nobuo_Uematsu
http://dbpedia.org/resource/Famous_Artists_School,http://dbpedia.org/resource/Norman_Rockwell
http://dbpedia.org/resource/Ammann_&_Whitney,http://dbpedia.org/resource/Othmar_Ammann
http://dbpedia.org/resource/Christian_Broadcasting_Network,http://dbpedia.org/resource/Pat_Robertson
http://dbpedia.org/resource/Aspetuck_Land_Trust,http://dbpedia.org/resource/Paul_Newman
http://dbpedia.org/resource/Newman's_Own,http://dbpedia.org/resource/Paul_Newman
http://dbpedia.org/resource/Philco,http://dbpedia.org/resource/Philo_Farnsworth
http://dbpedia.org/resource/NOW_Foods,http://dbpedia.org/resource/Quality_control
http://dbpedia.org/resource/Supermarine,http://dbpedia.org/resource/R._J._Mitchell
http://dbpedia.org/resource/Intertrust_Technologies_Corporation,http://dbpedia.org/resource/Robert_Tarjan
http://dbpedia.org/resource/Banco_Ambrosiano,http://dbpedia.org/resource/Roberto_Calvi
http://dbpedia.org/resource/Comic_Relief_USA,http://dbpedia.org/resource/Robin_Williams
http://dbpedia.org/resource/R_Family_Vacations,http://dbpedia.org/resource/Rosie_O'Donnell
http://dbpedia.org/resource/NeXT,http://dbpedia.org/resource/Ross_Perot
http://dbpedia.org/resource/Channel_Awesome,http://dbpedia.org/resource/Screenwriter
http://dbpedia.org/resource/Control_Data_Corporation,http://dbpedia.org/resource/Seymour_Cray
http://dbpedia.org/resource/Path_(social_network),http://dbpedia.org/resource/Shawn_Fanning
http://dbpedia.org/resource/SNOCAP,http://dbpedia.org/resource/Shawn_Fanning
http://dbpedia.org/resource/Acorn_Computers,http://dbpedia.org/resource/Sophie_Wilson
http://dbpedia.org/resource/Cbus,http://dbpedia.org/resource/Steve_Bracks
http://dbpedia.org/resource/Jolla,http://dbpedia.org/resource/Strategy
http://dbpedia.org/resource/Americas'_SAP_Users'_Group,http://dbpedia.org/resource/Technology
http://dbpedia.org/resource/Dimdim,http://dbpedia.org/resource/Technology
http://dbpedia.org/resource/Computing-Tabulating-Recording_Company,http://dbpedia.org/resource/Thomas_J._Watson
http://dbpedia.org/resource/World_Wide_Web_Foundation,http://dbpedia.org/resource/Tim_Berners-Lee
http://dbpedia.org/resource/Red_Storm_Entertainment,http://dbpedia.org/resource/Tom_Clancy
http://dbpedia.org/resource/InterMedia_Partners,http://dbpedia.org/resource/Tom_Daschle
http://dbpedia.org/resource/Sindicatum,http://dbpedia.org/resource/Tom_Daschle
http://dbpedia.org/resource/Botswana_Stock_Exchange,http://dbpedia.org/resource/Trade
http://dbpedia.org/resource/SimEx-Iwerks,http://dbpedia.org/resource/Ub_Iwerks
http://dbpedia.org/resource/National_Action_Alliance_for_Suicide_Prevention,http://dbpedia.org/resource/United_States_Army
http://dbpedia.org/resource/Guitar_Foundation_of_America,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/IP_Pixel,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Tri_Alpha_Energy,_Inc.,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/GroupLogic,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Malwarebytes,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Alcon_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/ClimateWell,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Groundfloor,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/QuantumDigital,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Ralcorp,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/The_Village_Bank,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Temple_Square_Hospitality,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Boshears_Skyfest,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Berkshire_Hathaway,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Critical_Path,_Inc.,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Ruby_Tuesday_(restaurant),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/USG_Corporation,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Yola_(webhost),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/SMG_(property_management),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/ConsumerLab.com,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Tommy_Habeeb_Enterprises,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Control_Module_Industries,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Deseret_Digital_Media,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Fleming's_Prime_Steakhouse_&_Wine_Bar,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/IArchives,_Inc.,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Mondetta_Clothing_Company,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Pikaba.com,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Flexiant,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Great_West_Newspapers,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Jolla,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Mettler_Toledo,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Wharfedale_Technologies,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Fry's_Electronics,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/SFM_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Solar_Entertainment_Corporation,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Amrita_Learning,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Figaro_Systems,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Helibras,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Rock/Creek,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Takeover_Entertainment,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/CBC_Television,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Embraer,http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Scion_(automobile),http://dbpedia.org/resource/Vice_president
http://dbpedia.org/resource/Ticketmaster,http://dbpedia.org/resource/Vice_president
